uid	Health	acquariumType	age	alive	ancestors	birth	color	deathNum	fishInVision	foodInVision	generation	hitbox	lenX	lenY	lookingBounds	parent	showVision	uid	visionValueFront	visionValueLeft	visionValueRight	x	y
56589	125	Fish	945	True		55650	(140, 99, 158)	15000	[47825, 10465]	[43264, 38717, 28181, 52952, 49822, 51274, 44921, 43094, 17194, 57476, 20784, 26588, 50915, 41716, 30125, 32630, 9670, 62003, 33308, 39190, 26977, 55039, 14751]	1	(230, 132, 60, 60)	60	60	(170, 72, 350, 252)		True	56589	60	10	10	230	132
24766	150	Fish	3361	True	56589,	56607	(55, 170, 115)	15000	[20418]	[43264, 28181, 52952, 51274, 21549, 43094, 20784, 26588, 50915, 41716, 32630, 9670, 62003, 16438, 33308, 39190, 26977, 55039, 14751]	2	(222, 122, 60, 60)	60	60	(162, 62, 342, 242)	56589	True	24766	60	10	10	222	122
62344	150	Fish	1766	True	56589,24766,	59978	(11, 237, 218)	15000	[49519]	[43264, 28181, 52952, 51274, 21549, 43094, 17194, 57476, 20784, 26588, 50915, 41716, 32630, 9670, 62003, 33308, 39190, 26977, 55039, 14751]	3	(216, 130, 60, 60)	60	60	(156, 70, 336, 250)	24766	True	62344	60	10	10	216	130
21150	125	Fish	15005	False		18381	(153, 75, 79)	15000	[43097, 56995, 7984]	[58637, 31632, 19078, 26567, 47216, 1413, 3695, 43355, 3014, 15655, 19633, 33566, 23878, 37756, 40334, 966, 35335, 6806, 40906, 33753, 41536, 41524, 16466, 57765, 33331, 28902, 7100, 29822, 25924, 7536, 17406]	1	(672, 415, 60, 60)	60	60	(612, 355, 792, 535)		True	21150	60	10	10	672	415
42045	125	Fish	15005	False	21150,	36170	(225, 101, 170)	15000	[14135, 12219, 29799]	[58637, 31632, 19078, 26567, 47216, 1413, 3695, 43355, 3014, 15655, 19633, 33566, 23878, 37756, 40334, 966, 35335, 6806, 40906, 33753, 41536, 41524, 16466, 57765, 33331, 28902, 7100, 29822, 25924, 7536, 17406]	2	(672, 415, 60, 60)	60	60	(612, 355, 792, 535)	21150	True	42045	60	10	10	672	415
14945	125	Fish	15005	False	21150,42045,	38482	(229, 214, 113)	15000	[32022, 13665, 14867]	[58637, 31632, 19078, 26567, 47216, 1413, 3695, 43355, 3014, 15655, 19633, 33566, 23878, 37756, 40334, 966, 35335, 6806, 40906, 33753, 41536, 41524, 16466, 57765, 33331, 28902, 7100, 29822, 25924, 7536, 17406]	3	(672, 415, 60, 60)	60	60	(612, 355, 792, 535)	42045	True	14945	60	10	10	672	415
49481	125	Fish	15005	False	21150,42045,14945,	39675	(132, 24, 150)	15000	[24459, 880, 60889, 13679]	[58637, 31632, 26567, 47216, 1413, 3695, 43355, 3014, 15655, 19633, 33566, 23878, 37756, 40334, 966, 35335, 6806, 33753, 41536, 16466, 57765, 33331, 28902, 7100, 29822, 25924, 7536, 17406]	4	(672, 415, 60, 60)	60	60	(612, 355, 792, 535)	14945	True	49481	60	10	10	672	415
57474	125	Fish	15005	False	21150,42045,14945,49481,	48983	(126, 80, 142)	15000	[12625, 4823, 55371, 21923, 8285]	[58637, 31632, 26567, 47216, 1413, 3695, 3014, 15655, 19633, 23878, 37756, 40334, 966, 35335, 6806, 33753, 41536, 16466, 57765, 33331, 28902, 7100, 29822, 25924, 7536, 17406, 54547, 10426, 43472, 56696, 50687, 47918, 28328, 35317, 22767, 2484, 5210, 32741, 52060, 18846, 55107, 19748, 53067, 35945, 41708, 21625]	5	(672, 415, 60, 60)	60	60	(612, 355, 792, 535)	49481	True	57474	60	10	10	672	415
62442	125	Fish	15005	False	21150,42045,14945,49481,57474,	56607	(50, 172, 222)	15000	[36981, 19393, 5388, 53612]	[58637, 31632, 26567, 47216, 1413, 3695, 3014, 15655, 19633, 23878, 37756, 40334, 966, 35335, 6806, 33753, 41536, 57765, 33331, 28902, 7100, 29822, 25924, 7536, 17406, 54547, 10426, 43472, 56696, 50687, 47918, 28328, 35317, 22767, 2484, 5210, 32741, 52060, 18846, 55107, 19748, 53067, 35945, 41708, 21625]	6	(672, 415, 60, 60)	60	60	(612, 355, 792, 535)	57474	True	62442	60	10	10	672	415
27355	125	Fish	15005	False	21150,42045,14945,49481,57474,62442,	59978	(221, 105, 241)	15000	[41686, 59594, 17573, 31013]	[58637, 31632, 26567, 47216, 1413, 3695, 3014, 15655, 19633, 23878, 37756, 40334, 966, 35335, 6806, 33753, 41536, 57765, 33331, 28902, 7100, 29822, 25924, 7536, 17406, 54547, 10426, 43472, 56696, 50687, 47918, 28328, 35317, 22767, 2484, 5210, 32741, 52060, 18846, 55107, 19748, 53067, 35945, 41708, 21625]	7	(672, 415, 60, 60)	60	60	(612, 355, 792, 535)	62442	True	27355	60	10	10	672	415
